reference_designator,array_name,name,description,min_depth,max_depth,longitude,latitude
CE06ISSM,Coastal Endurance,Washington Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,29,-124.27,47.13
CE06ISSP,Coastal Endurance,Washington Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,29,-124.27,47.13
CE07SHSM,Coastal Endurance,Washington Shelf Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,87,-124.57,46.99
CE07SHSP,Coastal Endurance,Washington Shelf Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,87,-124.57,46.99
CE09OSPM,Coastal Endurance,Washington Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,544,-124.9715,46.8517
CE09OSSM,Coastal Endurance,Washington Offshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,542,-124.97,46.85
CP01CNSM,Coastal Pioneer,Central Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,133,-70.78,40.14
CP01CNSP,Coastal Pioneer,Central Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,133,-70.78,40.14
CP02PMCI,Coastal Pioneer,Central Inshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,127,-70.88,40.23
CP02PMCO,Coastal Pioneer,Central Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,148,-70.88,40.1
CP02PMUI,Coastal Pioneer,Upstream Inshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,95,-70.78,40.37
CP02PMUO,Coastal Pioneer,Upstream Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,452,-70.78,39.94
CP03ISSM,Coastal Pioneer,Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,92,-70.88,40.36
CP03ISSP,Coastal Pioneer,Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,92,-70.88,40.36
CP04OSPM,Coastal Pioneer,Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,453,-70.88,39.94
CP04OSSM,Coastal Pioneer,Offshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,450,-70.88,39.94
CP05MOAS,Coastal Pioneer,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GA01SUMO,Global Argentine Basin,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,5200,-42.51,-42.99
GA02HYPM,Global Argentine Basin,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,5200,-42.51,-42.92
GA03FLMA,Global Argentine Basin,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,5200,-42.89,-42.51
GA03FLMB,Global Argentine Basin,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,5200,-42.13,-42.51
GA05MOAS,Global Argentine Basin,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GI01SUMO,Global Irminger Sea,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,2800,-38.26,60.61
GI02HYPM,Global Irminger Sea,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,2800,-38.26,60.57
GI03FLMA,Global Irminger Sea,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,2800,-38.44,60.46
GI03FLMB,Global Irminger Sea,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,2800,-38.08,60.46
GI05MOAS,Global Irminger Sea,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GP02HYPM,Global Station Papa,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,4219,-144.8,50.07
GP03FLMA,Global Station Papa,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4126,-144.25,49.98
GP03FLMB,Global Station Papa,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4145,-144.4,50.33
GP05MOAS,Global Station Papa,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GS01SUMO,Global Southern Ocean,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,4800,-89.28,-54.47
GS02HYPM,Global Southern Ocean,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,4800,-89.28,-54.41
GS03FLMA,Global Southern Ocean,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4800,-88.89,-54.08
GS03FLMB,Global Southern Ocean,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4800,-89.67,-54.08
GS05MOAS,Global Southern Ocean,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
RS01SBPD,Cabled Continental Margin,Oregon Slope Base Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,2893,-125.3806,44.5274
RS01SBPS,Cabled Continental Margin,Oregon Slope Base Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",5,2906,-125.3893,44.529
RS01SHDR,Cabled Continental Margin,Hydrate Ridge Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",1241,1241,-125.1483,44.4815
RS01SLBS,Cabled Continental Margin,Oregon Slope Base Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2901,2901,-125.3898,44.5153
RS01SUM1,Cabled Continental Margin,Southern Hydrate Summit 1 Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",775,775,-125.1481,44.5691
RS01SUM2,Cabled Continental Margin,Southern Hydrate Summit 2 Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",772,772,-125.1468,44.5699
RS03ASHS,Cabled Axial Seamount,ASHES Vent Field,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1552,1552,-130.0139,45.9337
RS03AXBS,Cabled Axial Seamount,Axial Base Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2611,2611,-129.7543,45.8168
RS03AXPD,Cabled Axial Seamount,Axial Base Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,2604,-129.759,45.8297
RS03AXPS,Cabled Axial Seamount,Axial Base Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",5,2607,-129.7535,45.8305
RS03CCAL,Cabled Axial Seamount,Central Caldera,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1523,1523,-130.0089,45.9549
RS03ECAL,Cabled Axial Seamount,Eastern Caldera,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1519,1519,-129.9742,45.9399
RS03INT1,Cabled Axial Seamount,International District Vent Field 1,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1516,1516,-129.9789,45.9263
RS03INT2,Cabled Axial Seamount,International District Vent Field 2,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1526,1526,-129.9778,45.9258
RS05MDPL,Cabled Juan de Fuca Mid-Plate,Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",2820,2820,-127.2784,45.7556
SSRSPACC,Cabled Oregon Shore Station,Pacific City,,0,0,,
